Date,ClientName,Side,Symbol,QuoteID,ClOrdID,OrderID,TransactTime,OrderQty,OrdType,Price,AvgPx,CumQty,LeavesQty,OrdStatus,Fee,FilledValue,OtherFee,AlgoNote,BasketID,username,ip,mac
2023-06-09,yytz_888867600047,S,300345.SZ,"20875132397000047	","2354509253012551680	","2354509253012551680	","93102621	",300,"Limit	",9.44,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,600885.SH,"20875132397000072	","2354852781676754946	","2354852781676754946	","93107620	",700,"Limit	",28.82,28.82,700,0,"Filled	",0.0,-20174.0,21.761694,1,,,,
2023-06-09,yytz_888867600047,B,601108.SH,"20875132397000075	","2354990564227610624	","2354990564227610624	","93109624	",1600,"Limit	",7.42,7.42,1600,0,"Filled	",0.0,11872.0,0.934326,1,,,,
2023-06-09,yytz_888867600047,S,002388.SZ,"20875132397000023	","2355471256967378944	","2355471256967378944	","93116619	",2400,"Limit	",6.7,6.7,2400,0,"Filled	",0.0,-16080.0,17.345496,1,,,,
2023-06-09,yytz_888867600047,S,002990.SZ,"20875132397000041	","2355539907724638208	","2355539907724638208	","93117618	",300,"Limit	",38.22,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,002990.SZ,"20875132397000041	","2355883505108318208	","2355883505108318208	","93122619	",200,"Limit	",38.18,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,002212.SZ,"20875132397000017	","2355883573827794945	","2355883573827794945	","93122619	",1600,"Limit	",10.37,10.37,1600,0,"Filled	",0.0,-16592.0,17.89779,1,,,,
2023-06-09,yytz_888867600047,S,002859.SZ,"20875132397000037	","2355883642547271680	","2355883642547271680	","93122620	",600,"Limit	",25.89,25.89,600,0,"Filled	",0.0,-15534.0,16.756526,1,,,,
2023-06-09,yytz_888867600047,S,603611.SH,"20875132397000093	","2355883711266748416	","2355883711266748416	","93122621	",600,"Limit	",22.04,22.04,600,0,"Filled	",0.0,-13224.0,14.264729,1,,,,
2023-06-09,yytz_888867600047,S,301208.SZ,"20875132397000057	","2355952224585054209	","2355952224585054209	","93123618	",400,"Limit	",58.76,58.77,400,0,"Filled	",0.0,-23508.0,25.35808,1,,,,
2023-06-09,yytz_888867600047,B,688133.SH,"20875132397000108	","2355952705621391360	","2355952705621391360	","93123625	",405,"Limit	",101.55,101.53,405,0,"Filled	",0.0,41119.65,3.236116,1,,,,
2023-06-09,yytz_888867600047,S,301029.SZ,"20875132397000053	","2356158520454215680	","2356158520454215680	","93126621	",200,"Limit	",40.39,40.39,200,0,"Filled	",0.0,-8078.0,8.713739,1,,,,
2023-06-09,yytz_888867600047,B,002062.SZ,"20875132397000015	","2356364678884423680	","2356364678884423680	","93129621	",2100,"Limit	",5.37,5.37,2100,0,"Filled	",0.0,11277.0,0.8875,1,,,,
2023-06-09,yytz_888867600047,B,002062.SZ,"20875132397000015	","2356502117837895680	","2356502117837895680	","93131621	",1600,"Limit	",5.38,5.38,1600,0,"Filled	",0.0,8608.0,0.67745,1,,,,
2023-06-09,yytz_888867600047,S,688188.SH,"20875132397000110	","2356502186557372416	","2356502186557372416	","93131621	",313,"Limit	",188.9,188.916,313,0,"Filled	",0.0,-59130.708,63.784295,1,,,,
2023-06-09,yytz_888867600047,S,688261.SH,"20875132397000113	","2356639831669274624	","2356639831669274624	","93133624	",347,"Limit	",163.2,163.2,347,0,"Filled	",0.0,-56630.4,61.087212,1,,,,
2023-06-09,yytz_888867600047,S,688299.SH,"20875132397000114	","2356914640856741890	","2356914640856741890	","93137623	",1463,"Limit	",15.2,15.2,1463,0,"Filled	",0.0,-22237.6,23.987699,1,,,,
2023-06-09,yytz_888867600047,S,300226.SZ,"20875132397000046	","2357189381324732416	","2357189381324732416	","93141622	",800,"Limit	",36.66,36.6662,800,0,"Filled	",0.0,-29332.96,31.641464,1,,,,
2023-06-09,yytz_888867600047,S,002745.SZ,"20875132397000035	","2357189381324732417	","2357189381324732417	","93141621	",900,"Limit	",8.84,8.84,900,0,"Filled	",0.0,-7956.0,8.582137,1,,,,
2023-06-09,yytz_888867600047,S,300051.SZ,"20875132397000044	","2357326682839250944	","2357326682839250944	","93143619	",900,"Limit	",10.82,10.82,800,0,"Canceled	",0.0,-8656.0,9.337227,1,,,,
2023-06-09,yytz_888867600047,S,002724.SZ,"20875132397000032	","2357326751558727680	","2357326751558727680	","93143620	",300,"Limit	",7.86,7.86,300,0,"Filled	",0.0,-2358.0,2.543575,1,,,,
2023-06-09,yytz_888867600047,S,002990.SZ,"20875132397000041	","2357395333596510208	","2357395333596510208	","93144619	",500,"Limit	",38.19,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,605259.SH,"20875132397000101	","2357395539754940416	","2357395539754940416	","93144621	",400,"Limit	",36.23,36.23,400,0,"Filled	",0.0,-14492.0,15.63252,1,,,,
