Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruifeng6,S,600123.SH,"TWAP_Plus	",100,"20838447148000042	","130551000	","131551000	",2,1,0,100,18.68,0,18.765092,18.761082,,-0.2802,-2.033692,0.0052,null,null,null,null,null,null
2022-06-14,ruifeng6,B,000035.SZ,"TWAP_Plus	",100,"20838447148000044	","130551000	","131551000	",2,1,0,100,5.14,0,5.13545,5.136922,,-0.0771,-0.045592,0.0397,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002051.SZ,"TWAP_Plus	",100,"20838447148000046	","130551000	","131551000	",2,1,0,100,8.64,0,8.624175,8.626618,,-0.1296,-0.940637,0.0192,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002807.SZ,"TWAP_Plus	",600,"20838447148000048	","130551000	","131551000	",2,1,0,600,4.29,0,4.2844,4.282867,,-0.3861,-2.802314,0.1076,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600256.SH,"TWAP_Plus	",300,"20838447148000111	","130551000	","131551000	",2,1,0,300,11.61,0,11.595857,11.598458,,-0.52245,-3.791942,0.0098,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002505.SZ,"TWAP_Plus	",400,"20838447148000112	","130551000	","131551000	",2,1,0,400,3.05,0,3.05335,3.054427,,-0.183,-1.328214,0.0239,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601225.SH,"TWAP_Plus	",200,"20838447148000113	","130551000	","131551000	",2,1,0,200,21.67,0,21.681486,21.688374,,-0.6501,-4.718426,0.0195,null,null,null,null,null,null
2022-06-14,ruizeng8,S,002505.SZ,"TWAP_Plus	",100,"20838447148000114	","130551000	","131551000	",2,1,0,100,3.05,0,3.05335,3.054427,,-0.04575,-0.332054,0.0060,null,null,null,null,null,null
2022-06-14,ruifeng6,S,603919.SH,"TWAP_Plus	",100,"20838447148000115	","130551000	","131551000	",0,0,0,0,0.0,0,32.106067,32.129277,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruifeng6,B,002389.SZ,"TWAP_Plus	",100,"20838447148000116	","130551000	","131551000	",2,1,0,100,17.35,0,17.38145,17.381157,,-0.26025,-0.153895,0.0221,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601800.SH,"TWAP_Plus	",100,"20838447148000117	","130551000	","131551000	",2,1,0,100,8.89,0,8.88995,8.884893,,-0.13335,-0.967854,0.0058,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601238.SH,"TWAP_Plus	",100,"20838447148000118	","130551000	","131551000	",0,0,0,0,0.0,0,16.539,16.558998,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruizeng8,S,603919.SH,"TWAP_Plus	",100,"20838447148000119	","130551000	","131551000	",0,0,0,0,0.0,0,32.106067,32.129277,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruizeng8,B,000034.SZ,"TWAP_Plus	",100,"20838447148000120	","130551000	","131551000	",2,1,0,100,14.85,0,14.855325,14.863015,,-0.22275,-0.131719,0.0282,null,null,null,null,null,null
2022-06-14,ruizeng8,S,601800.SH,"TWAP_Plus	",100,"20838447148000121	","130551000	","131551000	",2,1,0,100,8.89,0,8.88995,8.884893,,-0.13335,-0.967854,0.0058,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000729.SZ,"TWAP_Plus	",800,"20838447148000122	","130551000	","131551000	",2,1,0,800,8.39,0,8.395925,8.399674,,-1.0068,-7.307354,0.0708,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601965.SH,"TWAP_Plus	",100,"20838447148000123	","130551000	","131551000	",2,2,1,100,15.0,0,14.948825,14.938524,,-0.225,-1.63305,0.0443,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600673.SH,"TWAP_Plus	",100,"20838447148000124	","130551000	","131551000	",2,1,0,100,8.39,0,8.410008,8.414021,,-0.12585,-0.913419,0.0147,null,null,null,null,null,null
