算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
1030835234555000014,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.28,1000,2022-06-1493555153,4.28,1000,2022-06-1493555153,0,0.379636
1030835234555000015,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.28,1300,2022-06-1493555153,4.28,1300,2022-06-1493555153,0,0.493527
1030835234557000000,20838434514000005,2022-06-14,2,ruifeng6,1,103,多策略,600141,1,1,44.77,100,2022-06-1493557144,44.77,100,2022-06-1493557144,0,0.39711
1030835234558000000,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,1000,2022-06-1493558147,4.28,1000,2022-06-1493558147,0,0.379636
1030835234558000001,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.28,400,2022-06-1493558147,4.28,400,2022-06-1493558147,0,0.151854
1030835234558000002,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.28,600,2022-06-1493558147,4.28,600,2022-06-1493558147,0,0.227782
1030835234558000003,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.28,700,2022-06-1493558147,4.28,700,2022-06-1493558147,0,0.265745
1030835234563000000,20838434515000054,2022-06-14,1,ruifeng6,1,103,多策略,300226,1,1,21.98,100,2022-06-1493603131,21.98,100,2022-06-1493603131,0,0.194963
1030835234566000000,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,100,2022-06-1493606149,4.28,100,2022-06-1493606149,0,0.037964
1030835234566000001,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.28,100,2022-06-1493606150,4.28,100,2022-06-1493606150,0,0.037964
1030835234566000002,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.28,100,2022-06-1493606150,4.28,100,2022-06-1493606150,0,0.037964
1030835234566000003,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.28,100,2022-06-1493606150,4.28,100,2022-06-1493606150,0,0.037964
1030835234568000000,20838434516000030,2022-06-14,1,ruiyan1,1,103,多策略,000049,1,1,38.16,300,2022-06-1493608124,38.14,300,2022-06-1493608124,0,1.014905
