算法母单编号,交易日期,资金账户名称,算法类型,算法实例,算法供应商,任务数,证券代码,市场类别,买卖方向1,买卖方向2,开始时间,结束时间,下单时间
6880872434086000195,20230614,7027,0,103,多策略,18600,2063,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000196,20230614,7027,0,103,多策略,19600,2065,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000197,20230614,7027,0,103,多策略,13600,2068,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000198,20230614,7027,0,103,多策略,3400,2077,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000199,20230614,7027,0,103,多策略,23300,2078,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000200,20230614,7027,0,103,多策略,400,2081,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000201,20230614,7027,0,103,多策略,100,2088,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000202,20230614,7027,0,103,多策略,42100,2093,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000203,20230614,7027,0,103,多策略,900,2098,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000204,20230614,7027,0,103,多策略,52800,2103,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000205,20230614,7027,0,103,多策略,14100,2104,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000206,20230614,7027,0,103,多策略,17000,2107,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000207,20230614,7027,0,103,多策略,200,2110,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000208,20230614,7027,0,103,多策略,2900,2114,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000209,20230614,7027,0,103,多策略,24900,2115,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000210,20230614,7027,0,103,多策略,1400,2116,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000211,20230614,7027,0,103,多策略,34600,2117,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000212,20230614,7027,0,103,多策略,44500,2118,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000213,20230614,7027,0,103,多策略,32400,2121,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000214,20230614,7027,0,103,多策略,35100,2123,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000215,20230614,7027,0,103,多策略,2200,2124,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000216,20230614,7027,0,103,多策略,10500,2126,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000217,20230614,7027,0,103,多策略,4600,2128,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000218,20230614,7027,0,103,多策略,400,2129,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000219,20230614,7027,0,103,多策略,2800,2130,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000220,20230614,7027,0,103,多策略,264600,2131,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000221,20230614,7027,0,103,多策略,131500,2133,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000222,20230614,7027,0,103,多策略,23000,2134,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000223,20230614,7027,0,103,多策略,600,2137,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000224,20230614,7027,0,103,多策略,2600,2138,1,1,,20230614093000,20230614140000,20230614093000
